durée des essais (ms),Décours temporel des essais(ms),Décours temporel du signal stop (ms),systole/diastole stop signal,stop,RT (GO,SSRT
2250,2250,,,,1109,
2250,4500,,,,861,
2250,6750,,,,726,
2250,9000,,,,838,
2250,11250,,,,750,
2250,13500,,,,0,
2250,15750,15750,diastole,stop,0,
2250,18000,,,,734,
2250,20250,,,,946,
2250,22500,,,,927,
2250,24750,,,,991,
2250,27000,,,,1043,
2250,29250,,,,844,
2250,31500,31500,systole,stop,0,
2250,33750,33750,systole,stop,698,98
2250,36000,36000,diastole,stop,0,
2250,38250,,,,1006,
2250,40500,,,,1074,
2250,42750,,,,1163,
2250,45000,,,,0,
2250,47250,47250,systole,stop,0,
2250,49500,49500,diastole,stop,850,200
2250,51750,,,,1090,
2250,54000,,,,1215,
2250,56250,,,,1027,
2250,58500,,,,1108,
2250,60750,,,,1076,
2250,63000,63000,diastole,stop,0,
2250,65250,65250,diastole,stop,0,
2250,67500,67500,systole,stop,0,
2250,69750,,,,1232,
2250,72000,,,,1101,
2250,74250,,,,1049,
2250,76500,,,,1214,
2250,78750,,,,989,
2250,81000,,,,1070,
2250,83250,,,,1022,
2250,85500,85500,systole,stop,0,
2250,87750,87750,systole,stop,0,
2250,90000,,,,0,
2250,92250,,,,1124,
2250,94500,94500,systole,stop,0,
2250,96750,,,,1164,
2250,99000,,,,1144,
2250,101250,,,,0,
2250,103500,,,,1161,
2250,105750,,,,0,
2250,108000,,,,633,
2250,110250,,,,1066,
2250,112500,112500,diastole,stop,1038,138
2250,114750,,,,0,
2250,117000,,,,1197,
2250,119250,,,,0,
2250,121500,,,,1171,
2250,123750,123750,diastole,stop,938,88
2250,126000,,,,0,
2250,128250,128250,systole,stop,0,
2250,130500,,,,0,
2250,132750,,,,0,
2250,135000,,,,0,
2250,137250,,,,539,
2250,139500,,,,1012,
2250,141750,141750,systole,stop,996,146
2250,144000,,,,1173,
10000,154000,,,,,
2250,156250,156250,diastole,stop,0,
2250,158500,158500,systole,stop,0,
2250,160750,160750,diastole,stop,0,
2250,163000,,,,0,
2250,165250,,,,907,
2250,167500,,,,1212,
2250,169750,,,,1100,
2250,172000,172000,diastole,stop,0,
2250,174250,,,,0,
2250,176500,,,,1067,
2250,178750,,,,880,
2250,181000,,,,1124,
2250,183250,183250,diastole,stop,373,-627
2250,185500,185500,systole,stop,399,-551
2250,187750,,,,986,
2250,190000,,,,991,
2250,192250,,,,951,
2250,194500,,,,823,
2250,196750,,,,1108,
2250,199000,,,,1072,
2250,201250,,,,1157,
2250,203500,,,,1113,
2250,205750,205750,diastole,stop,0,
2250,208000,,,,0,
2250,210250,,,,0,
2250,212500,,,,969,
2250,214750,,,,1213,
2250,217000,,,,0,
2250,219250,,,,894,
2250,221500,,,,0,
2250,223750,,,,719,
2250,226000,226000,diastole,stop,0,
2250,228250,228250,systole,stop,1034,34
2250,230500,230500,diastole,stop,0,
2250,232750,,,,0,
2250,235000,,,,0,
2250,237250,237250,diastole,stop,1134,134
2250,239500,,,,0,
2250,241750,,,,995,
2250,244000,244000,diastole,stop,1072,122
2250,246250,,,,0,
2250,248500,,,,0,
2250,250750,,,,1048,
2250,253000,,,,1197,
2250,255250,,,,1158,
2250,257500,,,,1170,
2250,259750,,,,975,
2250,262000,262000,diastole,stop,0,
2250,264250,,,,0,
2250,266500,,,,1204,
2250,268750,,,,0,
2250,271000,,,,883,
2250,273250,,,,0,
2250,275500,275500,diastole,stop,692,-258
2250,277750,,,,1148,
2250,280000,280000,diastole,stop,0,
2250,282250,,,,0,
2250,284500,,,,1243,
2250,286750,,,,1238,
2250,289000,,,,0,
2250,291250,,,,0,
2250,293500,,,,0,
2250,295750,,,,0,
2250,298000,298000,diastole,stop,0,
10000,308000,,,,,
2250,310250,,,,1220,
2250,312500,312500,diastole,stop,1060,60
2250,314750,,,,0,
2250,317000,317000,diastole,stop,1183,
2250,319250,319250,systole,stop,0,
2250,321500,321500,diastole,stop,1102,152
2250,323750,,,,0,
2250,326000,326000,diastole,stop,0,
2250,328250,,,,0,
2250,330500,,,,1118,
2250,332750,,,,1187,
2250,335000,,,,1147,
2250,337250,337250,systole,stop,0,
2250,339500,,,,0,
2250,341750,,,,0,
2250,344000,,,,0,
2250,346250,,,,0,
2250,348500,,,,1047,
2250,350750,350750,diastole,stop,0,
2250,353000,,,,0,
2250,355250,,,,1107,
2250,357500,,,,1105,
2250,359750,359750,diastole,stop,0,
2250,362000,,,,0,
2250,364250,,,,0,
2250,366500,,,,0,
2250,368750,,,,1222,
2250,371000,,,,886,
2250,373250,373250,diastole,stop,751,-349
2250,375500,375500,diastole,stop,0,
2250,377750,,,,0,
2250,380000,380000,diastole,stop,0,
2250,382250,,,,1107,
2250,384500,,,,0,
2250,386750,,,,0,
2250,389000,389000,diastole,stop,1224,74
2250,391250,,,,800,
2250,393500,,,,0,
2250,395750,,,,701,
2250,398000,398000,diastole,stop,0,
2250,400250,,,,0,
2250,402500,,,,848,
2250,404750,404750,systole,stop,0,
2250,407000,,,,0,
2250,409250,409250,systole,stop,0,
2250,411500,,,,0,
2250,413750,,,,0,
2250,416000,,,,0,
2250,418250,,,,1196,
2250,420500,,,,1149,
2250,422750,,,,1029,
2250,425000,,,,0,
2250,427250,,,,1238,
2250,429500,,,,1135,
2250,431750,,,,0,
2250,434000,,,,0,
2250,436250,436250,diastole,stop,0,
2250,438500,,,,1216,
2250,440750,,,,260,
2250,443000,,,,995,
2250,445250,,,,0,
2250,447500,,,,1200,
2250,449750,,,,0,
2250,452000,,,,0,
