durée des essais (ms),Décours temporel des essais(ms),Décours temporel du signal stop (ms),stop,rtRT (go),SSRT
2250,2250,,,488,
2250,4500,,,604,
2250,6750,,,649,
2250,9000,,,770,
2250,11250,,,782,
2250,13500,,,691,
2250,15750,15750,stop,0,
2250,18000,,,617,
2250,20250,,,0,
2250,22500,,,846,
2250,24750,,,699,
2250,27000,27000,stop,0,
2250,29250,,,601,
2250,31500,31500,stop,0,
2250,33750,,,712,
2250,36000,,,808,
2250,38250,38250,stop,0,
2250,40500,,,760,
2250,42750,,,900,
2250,45000,,,836,
2250,47250,47250,stop,0,
2250,49500,49500,stop,723,173
2250,51750,,,808,
2250,54000,,,1012,
2250,56250,,,980,
2250,58500,58500,stop,704,204
2250,60750,,,922,
2250,63000,,,922,
2250,65250,,,902,
2250,67500,67500,stop,0,
2250,69750,69750,stop,0,
2250,72000,,,876,
2250,74250,,,1044,
2250,76500,76500,stop,0,
2250,78750,78750,stop,702,102
2250,81000,,,1075,
2250,83250,,,1208,
2250,85500,,,1048,
2250,87750,87750,stop,781,231
2250,90000,,,756,
2250,92250,,,1014,
2250,94500,,,914,
2250,96750,,,930,
2250,99000,,,934,
2250,101250,101250,stop,0,
2250,103500,,,766,
2250,105750,105750,stop,0,
2250,108000,,,884,
2250,110250,,,933,
2250,112500,,,1173,
2250,114750,,,1105,
2250,117000,,,870,
2250,119250,119250,stop,0,
2250,121500,,,941,
2250,123750,,,1189,
2250,126000,,,873,
2250,128250,,,946,
2250,130500,,,967,
2250,132750,,,823,
2250,135000,,,1008,
2250,137250,137250,stop,0,
2250,139500,,,882,
2250,141750,,,783,
2250,144000,,,955,
10000,154000,,,,
2250,156250,156250,stop,768,68
2250,158500,158500,stop,0,
2250,160750,,,939,
2250,163000,,,980,
2250,165250,,,1244,
2250,167500,167500,stop,0,
2250,169750,,,959,
2250,172000,,,979,
2250,174250,,,1020,
2250,176500,,,945,
2250,178750,178750,stop,0,
2250,181000,,,1044,
2250,183250,183250,stop,0,
2250,185500,,,1063,
2250,187750,,,947,
2250,190000,,,0,
2250,192250,,,855,
2250,194500,,,820,
2250,196750,,,1040,
2250,199000,,,1017,
2250,201250,,,1073,
2250,203500,,,842,
2250,205750,,,1054,
2250,208000,208000,stop,875,25
2250,210250,,,879,
2250,212500,,,1127,
2250,214750,,,1112,
2250,217000,,,1176,
2250,219250,219250,stop,913,113
2250,221500,,,1069,
2250,223750,223750,stop,0,
2250,226000,,,1012,
2250,228250,,,1157,
2250,230500,,,0,
2250,232750,232750,stop,0,
2250,235000,,,1156,
2250,237250,,,1180,
2250,239500,239500,stop,0,
2250,241750,,,575,
2250,244000,,,1040,
2250,246250,246250,stop,964,64
2250,248500,,,0,
2250,250750,,,1121,
2250,253000,,,829,
2250,255250,,,806,
2250,257500,,,874,
2250,259750,,,783,
2250,262000,262000,stop,835,-15
2250,264250,,,1099,
2250,266500,,,1144,
2250,268750,268750,stop,1033,233
2250,271000,,,822,
2250,273250,273250,stop,0,
2250,275500,275500,stop,0,
2250,277750,,,1168,
2250,280000,,,1156,
2250,282250,,,1201,
2250,284500,,,1133,
2250,286750,,,0,
2250,289000,,,1203,
2250,291250,,,1215,
2250,293500,293500,stop,859,9
2250,295750,,,960,
2250,298000,,,968,
10000,308000,,,,
2250,310250,,,913,
2250,312500,,,890,
2250,314750,314750,stop,849,49
2250,317000,,,0,
2250,319250,,,0,
2250,321500,321500,stop,947,197
2250,323750,,,856,
2250,326000,,,888,
2250,328250,,,761,
2250,330500,,,869,
2250,332750,,,713,
2250,335000,,,894,
2250,337250,337250,stop,822,122
2250,339500,,,839,
2250,341750,,,855,
2250,344000,,,776,
2250,346250,346250,stop,0,
2250,348500,348500,stop,763,63
2250,350750,,,1023,
2250,353000,353000,stop,0,
2250,355250,,,1046,
2250,357500,,,910,
2250,359750,,,1099,
2250,362000,,,859,
2250,364250,,,940,
2250,366500,,,972,
2250,368750,,,1013,
2250,371000,,,1145,
2250,373250,373250,stop,0,
2250,375500,375500,stop,823,73
2250,377750,,,1201,
2250,380000,,,0,
2250,382250,,,1001,
2250,384500,384500,stop,0,
2250,386750,,,984,
2250,389000,389000,stop,0,
2250,391250,,,939,
2250,393500,,,1020,
2250,395750,395750,stop,0,
2250,398000,,,1135,
2250,400250,,,1078,
2250,402500,,,1131,
2250,404750,404750,stop,0,
2250,407000,,,1126,
2250,409250,409250,stop,0,
2250,411500,,,901,
2250,413750,,,1141,
2250,416000,,,1102,
2250,418250,,,758,
2250,420500,420500,stop,1002,52
2250,422750,,,1127,
2250,425000,,,787,
2250,427250,,,1208,
2250,429500,,,1244,
2250,431750,,,1117,
2250,434000,,,1130,
2250,436250,,,1246,
2250,438500,,,1219,
2250,440750,,,1090,
2250,443000,,,1167,
2250,445250,445250,stop,1080,180
2250,447500,447500,stop,0,
2250,449750,,,1243,
2250,452000,,,1035,
10000,462000,,,,
